elements,imageUrlPath,studioEmail,styles,name
,http://latatuadora.com/wp-content/uploads/2016/09/received_10154461067947179.jpeg,sailorvinnieedge@gmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/10/2.png,contacto@tatudemia.com,,Rosa por Vicente López
,http://latatuadora.com/wp-content/uploads/2016/10/2.jpg,contacto@tatudemia.com,,Pluma Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/14-1.jpg,contacto@tatudemia.com,,Botánico por Michelle Gómez
,http://latatuadora.com/wp-content/uploads/2016/10/15-2.jpg,contacto@tatudemia.com,,Mundo al reves por Leo Rojas
,http://latatuadora.com/wp-content/uploads/2016/10/11-2.jpg,contacto@tatudemia.com,,Grises por Bola Valles
,http://latatuadora.com/wp-content/uploads/2016/10/3.jpg,contacto@tatudemia.com,,Ballena freehand por Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/4.jpg,contacto@tatudemia.com,,Gallo por Vicente López
,http://latatuadora.com/wp-content/uploads/2016/10/13-1.jpg,contacto@tatudemia.com,,Botánico por Michelle Gómez
,http://latatuadora.com/wp-content/uploads/2016/10/6.jpg,contacto@tatudemia.com,,Tigre por John Mendoza
,http://latatuadora.com/wp-content/uploads/2016/10/7-1.jpg,contacto@tatudemia.com,,Cover Up por Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/15-1.jpg,contacto@tatudemia.com,,Tradicional por Vicente López
,http://latatuadora.com/wp-content/uploads/2016/10/11-1.jpg,contacto@tatudemia.com,,Astronauta por Leo Rojas
,http://latatuadora.com/wp-content/uploads/2016/10/1-7.jpg,contacto@tatudemia.com,,Ornamental por Michelle Gómez
,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-07-24-a-las-17.09.51.png,contacto@tatudemia.com,,Corazon por Michelle Gómez
Blackwork,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-07-24-a-las-17.10.31.png,contacto@tatudemia.com,,Atun por Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/5.png,contacto@tatudemia.com,,Cover Up por Erick Cuevas
Blackwork,http://latatuadora.com/wp-content/uploads/2016/10/6.png,contacto@tatudemia.com,,Mafalda por Erick Cuevas
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/9-COPY.jpg,contacto@tatudemia.com,,Huella por Jimmy Olivares
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/vicente-1.jpg,contacto@tatudemia.com,Realismo,Tigre por Vicente López
,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-09-09-a-las-18.34.43.jpg,contacto@tatudemia.com,,Lobo por Bola Vallles y Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-09-09-a-las-18.19.32.jpg,contacto@tatudemia.com,Realismo,Tupac por Leo Rojas
,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-09-09-a-las-18.23.37.jpg,contacto@tatudemia.com,,Rosas en grises
Ilustración,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-09-09-a-las-18.16.11.png,contacto@tatudemia.com,Skull,Calavera neotradicional por John Mendoza
Blackwork,http://latatuadora.com/wp-content/uploads/2016/10/Captura-de-pantalla-2016-08-27-a-las-16.10.15.jpg,contacto@tatudemia.com,Dot Work,Niña calavera por Erick Cuevas
,http://latatuadora.com/wp-content/uploads/2016/10/7.jpg,contacto@tatudemia.com,"Animal, Geométrico",Canino en lineas
"Acuarela, mexico, tatuaje, Trash polka",http://latatuadora.com/wp-content/uploads/2016/10/1-6.jpg,contacto@tatudemia.com,"Acuarela, Realismo",Rosa por Vicente López
"estudio, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/04/12.png,contacto@tatudemia.com,,Retrato Realista
"estudio, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/04/5-1.png,contacto@tatudemia.com,"Animal, Religioso",Leon con Cristo
